date,cloudcover,day_of_week,label
1992-07-20,35.7,Monday,Weekday
1992-07-21,82.2,Tuesday,Weekday
1992-07-22,77.5,Wednesday,Weekday
1992-07-23,99.9,Thursday,Weekday
1992-07-24,94.1,Friday,Weekday
1992-07-25,45.5,Saturday,Weekend
1992-07-26,74.6,Sunday,Weekend
1992-07-27,94.2,Monday,Weekday
1992-07-28,36.2,Tuesday,Weekday
1992-07-29,11.0,Wednesday,Weekday
1992-07-30,67.4,Thursday,Weekday
1992-07-31,79.2,Friday,Weekday
1992-08-01,36.1,Saturday,Weekend
1992-08-02,36.6,Sunday,Weekend
1992-08-03,55.7,Monday,Weekday
1992-08-04,78.2,Tuesday,Weekday
1992-08-05,56.2,Wednesday,Weekday
1992-08-06,18.8,Thursday,Weekday
1992-08-07,21.5,Friday,Weekday
1992-08-08,71.3,Saturday,Weekend
1992-08-09,82.7,Sunday,Weekend
1992-08-10,54.5,Monday,Weekday
1992-08-11,57.8,Tuesday,Weekday
1992-08-12,76.7,Wednesday,Weekday
1992-08-13,97.6,Thursday,Weekday
1992-08-14,97.5,Friday,Weekday
1992-08-15,100.0,Saturday,Weekend
1992-08-16,100.0,Sunday,Weekend
1992-08-17,100.0,Monday,Weekday
1992-08-18,77.8,Tuesday,Weekday
1992-08-19,52.3,Wednesday,Weekday
1992-08-20,30.8,Thursday,Weekday
1992-08-21,0.3,Friday,Weekday
1992-08-22,47.0,Saturday,Weekend
1992-08-23,11.0,Sunday,Weekend
1992-08-24,29.4,Monday,Weekday
1992-08-25,40.5,Tuesday,Weekday
1992-08-26,64.2,Wednesday,Weekday
1992-08-27,57.2,Thursday,Weekday
1992-08-28,82.1,Friday,Weekday
1992-08-29,32.0,Saturday,Weekend
1992-08-30,23.9,Sunday,Weekend
1992-08-31,56.9,Monday,Weekday
1992-09-01,17.7,Tuesday,Weekday
1992-09-02,74.0,Wednesday,Weekday
1992-09-03,99.5,Thursday,Weekday
1992-09-04,64.9,Friday,Weekday
1992-09-05,97.1,Saturday,Weekend
1992-09-06,99.3,Sunday,Weekend
1992-09-07,98.9,Monday,Weekday
1992-09-08,81.6,Tuesday,Weekday
1992-09-09,63.4,Wednesday,Weekday
1992-09-10,74.2,Thursday,Weekday
1992-09-11,81.0,Friday,Weekday
1992-09-12,4.2,Saturday,Weekend
1992-09-13,30.2,Sunday,Weekend
1992-09-14,26.3,Monday,Weekday
1992-09-15,34.7,Tuesday,Weekday
1992-09-16,20.6,Wednesday,Weekday
1992-09-17,4.5,Thursday,Weekday
1992-09-18,60.8,Friday,Weekday
1992-09-19,92.1,Saturday,Weekend
1992-09-20,20.2,Sunday,Weekend
1992-09-21,86.0,Monday,Weekday
1992-09-22,96.7,Tuesday,Weekday
1992-09-23,41.4,Wednesday,Weekday
1992-09-24,4.9,Thursday,Weekday
1992-09-25,93.2,Friday,Weekday
1992-09-26,95.4,Saturday,Weekend
1992-09-27,95.9,Sunday,Weekend
1992-09-28,85.9,Monday,Weekday
1992-09-29,39.3,Tuesday,Weekday
1992-09-30,39.3,Wednesday,Weekday
1992-10-01,23.7,Thursday,Weekday
1992-10-02,9.2,Friday,Weekday
1992-10-03,6.6,Saturday,Weekend
1992-10-04,53.9,Sunday,Weekend
1992-10-05,38.2,Monday,Weekday
1992-10-06,0.0,Tuesday,Weekday
1992-10-07,12.3,Wednesday,Weekday
1992-10-08,20.8,Thursday,Weekday
1992-10-09,94.9,Friday,Weekday
1992-10-10,77.6,Saturday,Weekend
1992-10-11,92.0,Sunday,Weekend
1992-10-12,32.2,Monday,Weekday
1992-10-13,62.4,Tuesday,Weekday
1992-10-14,63.9,Wednesday,Weekday
1992-10-15,77.7,Thursday,Weekday
1992-10-16,72.3,Friday,Weekday
1992-10-17,62.8,Saturday,Weekend
1992-10-18,85.2,Sunday,Weekend
1992-10-19,76.9,Monday,Weekday
1992-10-20,45.9,Tuesday,Weekday
1992-10-21,90.3,Wednesday,Weekday
